fips,state,Name,p_unins,pcp_rat,dent_rat,mhp_rat,prev_hos_rate,p_Rec_hba1c,p_mamm,p_unins_adult,p_unins_child,costs,other_pcp_rat,hh_inc
va51001,Virginia,Accomack,20,2550,2540,1436,46,89,64,25,8,8882,1942,38390
va51003,Virginia,Albemarle,13,691,1066,977,37,88,72,15,7,7921,2223,67083
va51005,Virginia,Alleghany,14,1469,3955,5273,84,85,68,16,6,10238,1582,45454
va51007,Virginia,Amelia,18,12745,4285,3214,50,87,62,21,8,9450,4285,51738
va51009,Virginia,Amherst,16,6436,5340,6408,45,89,55,19,7,8286,4005,43998
va51011,Virginia,Appomattox,17,7628,7640,7640,57,86,57,20,8,8942,5093,44397
va51013,Virginia,Arlington,10,1363,1745,761,28,86,61,12,5,7823,2063,107143
va51015,Virginia,Augusta,14,2112,3517,1539,48,87,69,17,6,8481,1420,57808
va51017,Virginia,Bath,16,2308,4563,,121,86,65,19,8,10929,1521,43852
va51019,Virginia,Bedford,14,1425,6348,2393,41,87,67,16,6,8136,5470,55507
va51021,Virginia,Bland,14,,1656,6625,77,87,70,16,7,10410,736,42624
va51023,Virginia,Botetourt,11,1941,4138,3009,44,88,58,13,6,7556,4729,63646
va51025,Virginia,Brunswick,17,3395,4125,4125,78,87,73,21,6,8732,3300,37344
va51027,Virginia,Buchanan,15,3371,5777,3851,135,86,51,18,6,10956,1650,32083
va51029,Virginia,Buckingham,19,2856,1691,1879,62,92,58,23,7,8239,2819,38731
va51031,Virginia,Campbell,15,3945,6098,54885,46,87,59,18,6,8545,13721,46663
va51033,Virginia,Caroline,16,7325,4963,4963,46,84,62,19,7,8358,14889,56099
va51035,Virginia,Carroll,19,996,3291,3291,60,88,64,23,7,9882,1139,38474
va51036,Virginia,Charles City,20,3565,2341,3512,50,91,54,23,9,7554,3512,49768
va51037,Virginia,Charlotte,19,3076,3056,12225,57,89,60,23,8,8460,3056,36339
va51041,Virginia,Chesterfield,13,1122,1403,749,42,88,66,15,6,9120,2500,72972
va51043,Virginia,Clarke,12,2050,2885,1803,57,91,58,14,6,7584,2404,70281
va51045,Virginia,Craig,16,5210,1745,,61,89,65,19,8,9313,5234,46551
va51047,Virginia,Culpeper,16,2205,2588,745,49,89,62,20,8,8792,1821,62394
va51049,Virginia,Cumberland,18,4921,9827,9827,48,84,58,22,7,8127,,41409
va51051,Virginia,Dickenson,16,3097,15308,3062,111,86,56,19,6,11385,1392,32103
va51053,Virginia,Dinwiddie,15,6976,13930,9286,71,84,66,17,6,9759,13930,52288
va51057,Virginia,Essex,17,3743,1388,5552,38,88,73,21,7,9612,1851,48277
va51059,Virginia,Fairfax,12,973,1033,650,33,86,61,15,6,7859,1680,110507
va51061,Virginia,Fauquier,12,1977,1896,1393,62,88,63,15,6,8907,2353,89106
va51063,Virginia,Floyd,18,3106,7789,1731,38,90,61,21,8,8231,1947,43355
va51065,Virginia,Fluvanna,14,3247,6523,2609,35,86,68,17,6,7992,5218,64258
va51067,Virginia,Franklin,17,2167,5636,5636,46,92,63,21,8,8206,5636,47419
va51069,Virginia,Frederick,14,2259,8238,2423,71,88,63,18,6,7986,20594,65485
va51071,Virginia,Giles,15,1693,2803,16815,54,81,73,18,6,9382,3363,45979
va51073,Virginia,Gloucester,14,1674,3095,774,47,90,68,17,7,8632,2185,58900
va51075,Virginia,Goochland,7,1201,3134,1371,40,89,65,8,5,8896,4387,86610
va51077,Virginia,Grayson,18,3032,5031,15093,64,88,59,22,7,8719,3773,31893
va51079,Virginia,Greene,17,6268,6344,3172,38,87,63,21,8,8533,19031,61762
va51081,Virginia,Greensville,14,2377,11681,649,113,83,67,18,5,9102,1168,36459
va51083,Virginia,Halifax,16,2213,2514,1214,38,88,59,20,6,8352,1173,39079
va51085,Virginia,Hanover,10,1388,1788,761,36,89,67,12,5,9366,1477,81940
va51087,Virginia,Henrico,14,1018,1450,408,40,86,66,17,6,8885,1618,62446
va51089,Virginia,Henry,18,1594,1680,52081,72,87,66,23,6,9067,13020,34842
va51091,Virginia,Highland,27,,2248,450,53,89,55,29,13,7684,1124,38636
va51093,Virginia,Isle of Wight,12,1877,5144,4501,41,88,66,14,6,9089,4001,64350
va51095,Virginia,James City,12,705,955,408,38,89,76,14,6,8434,1369,75926
va51097,Virginia,King and Queen,19,2377,,,45,90,64,22,9,8537,,46331
va51099,Virginia,King George,11,4985,2114,2537,64,83,56,13,5,9388,3171,76206
va51101,Virginia,King William,14,1789,2312,2698,47,90,67,17,7,9054,5395,64305
va51103,Virginia,Lancaster,15,1593,11044,920,23,88,67,18,8,7259,2209,45827
va51105,Virginia,Lee,16,3148,4990,1248,95,82,51,19,6,10409,1663,31429
va51107,Virginia,Loudoun,9,1350,1650,781,47,85,58,11,5,8350,2086,122641
va51109,Virginia,Louisa,17,6789,4907,6870,50,89,64,20,8,8903,8587,60121
va51111,Virginia,Lunenburg,19,4176,4155,2493,67,94,54,23,8,8155,1781,37548
va51113,Virginia,Madison,17,1886,3289,4386,47,89,64,20,9,8420,4386,52513
va51115,Virginia,Mathews,16,2966,4418,4418,35,89,73,18,8,8817,2945,58268
va51117,Virginia,Mecklenburg,18,1496,3899,1418,60,89,67,22,7,9000,2399,38500
va51119,Virginia,Middlesex,16,2691,2139,2139,47,90,70,18,8,8088,3565,48921
va51121,Virginia,Montgomery,15,1436,2559,562,48,91,66,18,7,8973,1544,43484
va51125,Virginia,Nelson,17,1643,1856,1350,47,89,64,20,8,7660,2970,48076
va51127,Virginia,New Kent,13,3251,6674,1001,44,92,68,15,8,8413,3337,72406
va51131,Virginia,Northampton,21,808,932,932,44,92,72,25,9,8615,1212,36822
va51133,Virginia,Northumberland,19,718,942,12251,34,89,70,22,9,7942,4084,51422
va51135,Virginia,Nottoway,17,1434,2226,3116,70,88,57,21,6,8685,2226,37996
va51137,Virginia,Orange,16,1652,4378,2060,45,86,63,20,8,8725,5004,59282
va51139,Virginia,Page,17,2166,5962,3975,82,88,53,21,6,8954,1834,44851
va51141,Virginia,Patrick,18,6123,6088,4566,57,90,63,21,7,8921,3044,34885
va51143,Virginia,Pittsylvania,15,20809,8912,10397,49,89,67,19,6,8229,7798,44207
va51145,Virginia,Powhatan,13,1662,2188,2188,33,88,63,15,8,9109,7112,75539
va51147,Virginia,Prince Edward,17,1900,2884,471,64,87,64,20,6,8177,2564,37543
va51149,Virginia,Prince George,13,6209,4667,889,66,82,56,15,6,9258,1131,61792
va51153,Virginia,Prince William,15,2345,2075,1005,43,85,56,18,6,8281,3055,91886
va51155,Virginia,Pulaski,15,1725,3814,2860,88,88,62,18,5,10314,3814,46186
va51157,Virginia,Rappahannock,19,2493,3681,1472,55,90,56,22,11,8102,,62800
va51159,Virginia,Richmond,19,,1780,685,37,86,69,22,9,8427,4451,42204
va51161,Virginia,Roanoke,12,806,1187,430,39,90,66,14,5,8340,2131,61935
va51163,Virginia,Rockbridge,16,929,22327,22327,44,85,68,19,7,7744,11164,48497
va51165,Virginia,Rockingham,16,3887,5211,6514,52,90,53,20,8,8077,7106,55798
va51167,Virginia,Russell,16,2355,9341,1218,130,89,61,19,6,10213,1168,37378
va51169,Virginia,Scott,15,2516,4477,933,94,91,64,18,6,10565,2238,36290
va51171,Virginia,Shenandoah,17,2134,3309,2049,75,85,62,20,8,8409,3073,45430
va51173,Virginia,Smyth,15,1862,1856,853,70,89,64,18,5,9468,1262,37831
va51175,Virginia,Southampton,16,4532,18059,,57,87,56,19,7,8621,,46521
va51177,Virginia,Spotsylvania,14,1612,2533,1700,68,83,59,17,7,10058,1820,75714
va51179,Virginia,Stafford,10,3336,2800,1522,70,84,60,13,5,10069,4375,92647
va51181,Virginia,Surry,15,6765,,1358,36,93,59,17,7,6982,,48707
va51183,Virginia,Sussex,16,3937,5884,5884,66,91,58,19,6,9230,11767,37748
va51185,Virginia,Tazewell,17,1297,2556,724,101,85,55,20,6,10636,1207,38292
va51187,Virginia,Warren,16,1759,4873,1114,85,90,57,19,7,8404,4332,60714
va51191,Virginia,Washington,15,1569,1955,750,84,89,67,18,6,9450,1216,43353
va51193,Virginia,Westmoreland,18,8806,8739,17477,48,89,63,22,8,8976,8739,48232
va51195,Virginia,Wise,15,2388,4437,1210,105,88,63,19,5,10764,1736,38528
va51197,Virginia,Wythe,16,1834,2912,520,71,86,64,19,6,10128,1324,41132
va51199,Virginia,York,10,960,2073,1701,35,84,72,12,5,8854,2140,81169
va51510,Virginia,Alexandria City,14,1504,1333,368,46,82,60,16,6,8236,1771,86419
va51515,Virginia,Bedford City,14,,744,,53,89,59,17,5,8267,,
va51520,Virginia,Bristol City,15,2477,2864,1227,94,88,58,18,4,10534,2455,34099
va51530,Virginia,Buena Vista City,16,6680,1321,1101,59,88,61,20,5,8050,,38331
va51540,Virginia,Charlottesville City,18,346,1232,116,,86,60,20,7,7294,243,45890
va51550,Virginia,Chesapeake City,12,1220,2288,1167,55,87,66,15,5,9395,1755,66625
va51570,Virginia,Colonial Heights City,14,653,443,455,,,,17,6,,933,52355
va51580,Virginia,Covington City,15,1455,1451,446,,,,19,4,,1934,36503
va51590,Virginia,Danville City,15,1047,1011,505,48,88,72,19,5,8598,653,33646
va51595,Virginia,Emporia City,15,,1092,,110,82,57,20,4,10267,,33160
va51600,Virginia,Fairfax City,14,11987,,84,,,,16,6,,790,94067
va51610,Virginia,Falls Church City,7,307,368,99,21,87,62,8,4,8202,591,125635
va51620,Virginia,Franklin City,15,785,1705,711,67,85,57,19,4,9106,1218,38583
va51630,Virginia,Fredericksburg City,16,686,545,171,58,84,55,19,6,9864,308,51195
va51640,Virginia,Galax City,18,,877,270,57,87,64,23,7,8700,292,33182
va51650,Virginia,Hampton City,14,2531,1045,456,41,81,64,18,5,8996,1538,47615
va51660,Virginia,Harrisonburg City,22,779,990,305,45,88,55,25,8,7713,632,38541
va51670,Virginia,Hopewell City,16,2216,2220,888,73,87,59,21,5,9942,1707,40122
va51678,Virginia,Lexington City,17,,812,215,,,,20,6,,609,40829
va51680,Virginia,Lynchburg City,16,780,952,271,45,87,54,20,6,8344,643,40065
va51683,Virginia,Manassas City,20,887,859,331,,95,,25,9,5694,690,72510
va51685,Virginia,Manassas Park City,23,,,,41,85,52,28,10,8208,,73065
va51690,Virginia,Martinsville City,16,13755,,352,65,88,65,20,6,8446,571,29971
va51700,Virginia,Newport News City,15,1597,1271,835,38,83,66,19,5,8984,1064,48440
va51710,Virginia,Norfolk City,17,1052,1320,579,52,82,62,21,5,9394,802,42567
va51720,Virginia,Norton City,12,309,806,288,99,91,75,15,4,10444,212,31620
va51730,Virginia,Petersburg City,17,1205,1308,344,81,82,63,21,4,9288,1258,32749
va51735,Virginia,Poquoson City,10,1729,1721,2008,33,85,69,12,5,8806,,84213
va51740,Virginia,Portsmouth City,15,2138,990,508,30,85,60,19,5,8589,1021,43045
va51750,Virginia,Radford City,17,1562,1961,706,51,90,72,19,7,9981,1357,34267
va51760,Virginia,Richmond City,20,991,792,374,52,80,64,24,6,9016,721,42074
va51770,Virginia,Roanoke City,18,1186,1530,452,53,88,53,22,6,8690,667,40735
va51775,Virginia,Salem City,13,723,822,146,43,89,65,16,5,8319,268,54195
va51790,Virginia,Staunton City,14,1873,1168,196,42,87,65,17,5,8771,1227,42552
va51800,Virginia,Suffolk City,12,1072,2553,1772,47,87,66,15,5,8616,1423,60735
va51810,Virginia,Virginia Beach City,13,1315,1401,654,48,85,64,16,5,9809,1388,67676
va51820,Virginia,Waynesboro City,16,1063,822,647,42,88,70,21,5,8735,7122,44843
va51830,Virginia,Williamsburg City,16,15206,,2099,34,86,76,19,6,8273,14691,46954
va51840,Virginia,Winchester City,19,358,586,204,72,88,58,24,7,8075,214,44537
